Date,areaName,newCasesByPublishDate,cumCasesByPublishDate,newDeaths28DaysByPublishDate,cumDeaths28DaysByPublishDate,cumDeaths28DaysByPublishDateRate,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDateRate
11/03/2020,South West,,,,,,1,1,
12/03/2020,South West,,,,,,0,1,
13/03/2020,South West,,,,,,0,1,
14/03/2020,South West,,,,,,1,2,
15/03/2020,South West,,,,,,1,3,0.1
16/03/2020,South West,,,,,,0,3,0.1
17/03/2020,South West,,,,,,2,5,0.1
18/03/2020,South West,,,,,,3,8,0.1
19/03/2020,South West,,,,,,4,12,0.2
20/03/2020,South West,,,,,,2,14,0.2
21/03/2020,South West,,,,,,8,22,0.4
22/03/2020,South West,,,,,,6,28,0.5
23/03/2020,South West,,,,,,9,37,0.7
24/03/2020,South West,,,,,,6,43,0.8
25/03/2020,South West,,,,,,10,53,0.9
26/03/2020,South West,,,,,,11,64,1.1
27/03/2020,South West,,,,,,13,77,1.4
28/03/2020,South West,,,,,,21,98,1.7
29/03/2020,South West,,,,,,23,121,2.1
30/03/2020,South West,,,,,,26,147,2.6
31/03/2020,South West,,,,,,25,172,3
01/04/2020,South West,,,,,,24,196,3.5
02/04/2020,South West,,,,,,29,225,4
03/04/2020,South West,,,,,,32,257,4.5
04/04/2020,South West,,,,,,41,298,5.3
05/04/2020,South West,,,,,,38,336,5.9
06/04/2020,South West,,,,,,41,377,6.7
07/04/2020,South West,,,,,,44,421,7.4
08/04/2020,South West,,,,,,51,472,8.3
09/04/2020,South West,,,,,,31,503,8.9
10/04/2020,South West,,,,,,63,566,10
11/04/2020,South West,,,,,,43,609,10.8
12/04/2020,South West,,,,,,37,646,11.4
13/04/2020,South West,,,,,,45,691,12.2
14/04/2020,South West,,,,,,33,724,12.8
15/04/2020,South West,,,,,,41,765,13.5
16/04/2020,South West,,3913,,,,40,805,14.2
17/04/2020,South West,309,4222,,,,48,853,15.1
18/04/2020,South West,226,4448,,,,40,893,15.8
19/04/2020,South West,221,4669,,,,48,941,16.6
20/04/2020,South West,192,4861,,,,40,981,17.3
21/04/2020,South West,184,5045,,,,43,1024,18.1
22/04/2020,South West,184,5229,,,,30,1054,18.6
23/04/2020,South West,182,5411,,,,34,1088,19.2
24/04/2020,South West,117,5528,,,,37,1125,19.9
25/04/2020,South West,173,5701,,,,26,1151,20.3
26/04/2020,South West,96,5797,,,,36,1187,21
27/04/2020,South West,105,5902,,,,32,1219,21.5
28/04/2020,South West,84,5986,,,,29,1248,22.1
29/04/2020,South West,70,6056,,,,32,1280,22.6
30/04/2020,South West,121,6177,,,,37,1317,23.3
01/05/2020,South West,127,6304,,,,12,1329,23.5
02/05/2020,South West,101,6405,,,,23,1352,23.9
03/05/2020,South West,84,6489,,,,20,1372,24.2
04/05/2020,South West,82,6571,,,,29,1401,24.8
05/05/2020,South West,86,6657,,,,31,1432,25.3
06/05/2020,South West,69,6726,,,,31,1463,25.9
07/05/2020,South West,99,6825,,,,28,1491,26.3
08/05/2020,South West,82,6907,,,,14,1505,26.6
09/05/2020,South West,67,6974,,,,25,1530,27
10/05/2020,South West,32,7006,,,,13,1543,27.3
11/05/2020,South West,38,7044,,,,12,1555,27.5
12/05/2020,South West,48,7092,,,,8,1563,27.6
